"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq ft)","Lease Commencement Date"
"1","STRATUM","ELIAS ROAD","18","Non-landed Properties","NA","1700","400 to 500","Jun-2022"
"2","COCO PALMS","PASIR RIS GROVE","18","Non-landed Properties","3","3200","1000 to 1100","Jun-2022"
"3","THE TAPESTRY","TAMPINES STREET 86","18","Non-landed Properties","1","2850","400 to 500","Jun-2022"
"4","MY MANHATTAN","SIMEI STREET 3","18","Non-landed Properties","1","2300","500 to 600","Jun-2022"
"5","STRATUM","ELIAS ROAD","18","Non-landed Properties","2","3500","800 to 900","Jun-2022"
"6","LIVIA","PASIR RIS GROVE","18","Non-landed Properties","4","5100","1500 to 1600","Jun-2022"
"7","THE PALETTE","PASIR RIS GROVE","18","Non-landed Properties","2","2400","700 to 800","Jun-2022"
"8","MELVILLE PARK","SIMEI STREET 1","18","Non-landed Properties","2","2850","900 to 1000","Jun-2022"
"9","SAVANNAH CONDOPARK","SIMEI RISE","18","Non-landed Properties","3","3600","1200 to 1300","Jun-2022"
"10","STRATUM","ELIAS ROAD","18","Non-landed Properties","3","3300","1000 to 1100","Jun-2022"
"11","MELVILLE PARK","SIMEI STREET 1","18","Non-landed Properties","3","3450","1000 to 1100","Jun-2022"
"12","THE TAPESTRY","TAMPINES STREET 86","18","Non-landed Properties","1","2800","400 to 500","Jun-2022"
"13","STRATUM","ELIAS ROAD","18","Non-landed Properties","NA","1700","400 to 500","Jun-2022"
"14","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","3500","1300 to 1400","Jun-2022"
"15","DOUBLE BAY RESIDENCES","SIMEI STREET 4","18","Non-landed Properties","2","4000","900 to 1000","Jun-2022"
"16","NV RESIDENCES","PASIR RIS GROVE","18","Non-landed Properties","2","3100","800 to 900","Jun-2022"
"17","DOUBLE BAY RESIDENCES","SIMEI STREET 4","18","Non-landed Properties","3","4900","1200 to 1300","Jun-2022"
"18","STRATUM","ELIAS ROAD","18","Non-landed Properties","2","3100","700 to 800","Jun-2022"
"19","MELVILLE PARK","SIMEI STREET 1","18","Non-landed Properties","2","3100","900 to 1000","Jun-2022"
"20","RIPPLE BAY","PASIR RIS LINK","18","Non-landed Properties","1","1900","400 to 500","Jun-2022"
"21","THE TAPESTRY","TAMPINES STREET 86","18","Non-landed Properties","1","2800","400 to 500","Jun-2022"
"22","THE TAPESTRY","TAMPINES STREET 86","18","Non-landed Properties","1","2800","400 to 500","Jun-2022"
"23","RIPPLE BAY","PASIR RIS LINK","18","Non-landed Properties","1","1900","400 to 500","Jun-2022"
"24","OASIS @ ELIAS","ELIAS ROAD","18","Non-landed Properties","2","3000","900 to 1000","Jun-2022"
"25","OASIS @ ELIAS","ELIAS ROAD","18","Non-landed Properties","4","5400","2400 to 2500","Jun-2022"
"26","STRATUM","ELIAS ROAD","18","Non-landed Properties","NA","2400","400 to 500","Jun-2022"
"27","Q BAY RESIDENCES","TAMPINES STREET 86","18","Non-landed Properties","2","3400","800 to 900","Jun-2022"
"28","RIS GRANDEUR","ELIAS ROAD","18","Non-landed Properties","2","2800","1000 to 1100","Jun-2022"
"29","STRATUM","ELIAS ROAD","18","Non-landed Properties","3","3400","1300 to 1400","Jun-2022"
"30","RIPPLE BAY","PASIR RIS LINK","18","Non-landed Properties","3","2600","1000 to 1100","Jun-2022"
"31","THE PALETTE","PASIR RIS GROVE","18","Non-landed Properties","2","3600","800 to 900","Jun-2022"
"32","COCO PALMS","PASIR RIS GROVE","18","Non-landed Properties","2","4450","1100 to 1200","Jun-2022"
