"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq ft)","Lease Commencement Date"
"1","H2O RESIDENCES","FERNVALE LINK","28","Non-landed Properties","3","3500","1100 to 1200","Jun-2022"
"2","SKIES MILTONIA","MILTONIA CLOSE","27","Non-landed Properties","4","3100","1300 to 1400","Jun-2022"
"3","YISHUN EMERALD","CANBERRA DRIVE","27","Non-landed Properties","4","3250","1300 to 1400","Jun-2022"
"4","THE GREENWICH","SELETAR ROAD","28","Non-landed Properties","1","2300","600 to 700","Jun-2022"
"5","EIGHT COURTYARDS","CANBERRA DRIVE","27","Non-landed Properties","3","3600","1200 to 1300","Jun-2022"
"6","THE MILTONIA RESIDENCES","MILTONIA CLOSE","27","Non-landed Properties","2","2300","800 to 900","Jun-2022"
"7","PARC BOTANNIA","FERNVALE STREET","28","Non-landed Properties","NA","2500","500 to 600","Jun-2022"
"8","SKIES MILTONIA","MILTONIA CLOSE","27","Non-landed Properties","2","2300","700 to 800","Jun-2022"
"9","NORTH PARK RESIDENCES","YISHUN CENTRAL 1","27","Non-landed Properties","NA","2200","400 to 500","Jun-2022"
"10","HIGH PARK RESIDENCES","FERNVALE ROAD","28","Non-landed Properties","2","3000","600 to 700","Jun-2022"
"11","PARC BOTANNIA","FERNVALE STREET","28","Non-landed Properties","NA","3500","600 to 700","Jun-2022"
"12","EIGHT COURTYARDS","CANBERRA DRIVE","27","Non-landed Properties","4","4600","1500 to 1600","Jun-2022"
"13","SERENITY PARK","TAMARIND ROAD","28","Non-landed Properties","3","3200","1300 to 1400","Jun-2022"
"14","PARC BOTANNIA","FERNVALE STREET","28","Non-landed Properties","NA","2700","400 to 500","Jun-2022"
"15","SKIES MILTONIA","MILTONIA CLOSE","27","Non-landed Properties","3","2450","1100 to 1200","Jun-2022"
"16","SERENITY PARK","TAMARIND ROAD","28","Non-landed Properties","2","2800","1300 to 1400","Jun-2022"
"17","SKIES MILTONIA","MILTONIA CLOSE","27","Non-landed Properties","2","2200","700 to 800","Jun-2022"
"18","NORTH PARK RESIDENCES","YISHUN CENTRAL 1","27","Non-landed Properties","NA","2600","400 to 500","Jun-2022"
"19","THE NAUTICAL","JALAN SENDUDOK","27","Non-landed Properties","3","3700","1100 to 1200","Jun-2022"
"20","THE ESTUARY","YISHUN AVENUE 1","27","Non-landed Properties","1","2600","600 to 700","Jun-2022"
"21","H2O RESIDENCES","FERNVALE LINK","28","Non-landed Properties","2","2350","700 to 800","Jun-2022"
"22","PARC BOTANNIA","FERNVALE STREET","28","Non-landed Properties","NA","3200","600 to 700","Jun-2022"
