Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,2,"4,400",60 to 70,600 to 700,Jul-24
DOVER PARKVIEW,DOVER RISE,05,Non-Landed Properties,2,"4,000",90 to 100,"900 to 1,000",Jul-24
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,OCEAN WAY,04,Non-Landed Properties,4,"12,500",190 to 200,"2,000 to 2,100",Jul-24
MARGARET VILLE,MARGARET DRIVE,03,Non-Landed Properties,2,"5,000",70 to 80,800 to 900,Jul-24
TWIN VEW,WEST COAST VALE,05,Non-Landed Properties,1,"3,300",40 to 50,400 to 500,Jul-24
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,3,"7,000",110 to 120,"1,200 to 1,300",Jul-24
BIJOU,JALAN MAT JAMBOL,05,Non-Landed Properties,1,"3,300",50 to 60,500 to 600,Jul-24
THE STELLAR,WEST COAST ROAD,05,Non-Landed Properties,3,"4,250",80 to 90,"900 to 1,000",Jul-24
VIVA VISTA,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,1,"3,000",30 to 40,300 to 400,Jul-24
FABER CREST,FABER HEIGHTS,05,Non-Landed Properties,3,"4,150",110 to 120,"1,200 to 1,300",Jul-24
HERITAGE VIEW,DOVER RISE,05,Non-Landed Properties,3,"5,500",110 to 120,"1,100 to 1,200",Jul-24
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"5,300",90 to 100,"1,000 to 1,100",Jul-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,2,"4,400",70 to 80,800 to 900,Jul-24
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,2,"5,900",80 to 90,800 to 900,Jul-24
RIVER PLACE,HAVELOCK ROAD,03,Non-Landed Properties,1,"4,100",70 to 80,800 to 900,Jul-24
HERITAGE VIEW,DOVER RISE,05,Non-Landed Properties,2,"4,300",90 to 100,"900 to 1,000",Jul-24
